--------------------------------------------------------------------------------
---------------------- FAST INDIVIDUAL BLADE FILE ------------------------------
Properties generated using NuMAD2PreComp2FASTBlade on 14-Apr-2026
---------------------- BLADE PARAMETERS ----------------------------------------
51               NBlInpSt    - Number of blade input stations (-)
F                CalcBMode   - Calculate blade mode shapes internally {T: ignore mode shapes from below, F: use mode shapes from below} [CURRENTLY IGNORED] (flag)
1.5              BldFlDmp(1) - Blade flap mode #1 structural damping in percent of critical (%%)
1.5              BldFlDmp(2) - Blade flap mode #2 structural damping in percent of critical (%%)
1.5              BldEdDmp(1) - Blade edge mode #1 structural damping in percent of critical (%%)
---------------------- BLADE ADJUSTMENT FACTORS --------------------------------
1                FlStTunr(1) - Blade flapwise modal stiffness tuner, 1st mode (-)
1                FlStTunr(2) - Blade flapwise modal stiffness tuner, 2nd mode (-)
1                AdjBlMs     - Factor to adjust blade mass density (-)
1                AdjFlSt     - Factor to adjust blade flap stiffness (-)
1                AdjEdSt     - Factor to adjust blade edge stiffness (-)
---------------------- DISTRIBUTED BLADE PROPERTIES ----------------------------
BlFract  AeroCent  StrcTwst  BMassDen  FlpStff       EdgStff       GJStff        EAStff        Alpha  FlpIner  EdgIner  PrecrvRef  PreswpRef  FlpcgOf  EdgcgOf  FlpEAOf  EdgEAOf
(-)      (-)       (deg)     (kg/m)    (Nm^2)        (Nm^2)        (Nm^2)        (N)           (-)    (kg m)   (kg m)   (m)        (m)        (m)      (m)      (m)      (m)
0.00000  0.750     11.310    4792.000   2.52300e+11   2.50400e+11   1.51500e+11   5.62400e+10  0.000  21680.000  21520.000  0.000      0.000      0.000    0.000    0.000    0.000
0.02000  0.750     11.300    4383.000   2.31300e+11   2.28800e+11   1.38100e+11   5.10800e+10  0.000  19940.000  19710.000  0.000      0.000      0.000    0.001    0.001    0.003
0.04000  0.047     11.190    3892.000   1.95100e+11   2.00000e+11   1.17500e+11   4.52500e+10  0.000  16770.000  17260.000  0.000      0.000      0.000    0.081    0.000    0.086
0.06000  0.061     10.910    3354.000   1.46200e+11   1.65800e+11   9.00100e+10   3.89100e+10  0.000  12460.000  14320.000  0.000      0.000      0.002    0.125    0.002    0.136
0.08000  0.116     10.470    2832.000   1.02100e+11   1.35700e+11   6.39300e+10   3.29600e+10  0.000  8543.000  11710.000  0.000      0.000      0.007    0.396    0.008    0.413
0.10000  0.151      9.910    2346.000   6.82300e+10   1.11600e+11   4.26700e+10   2.76400e+10  0.000  5511.000  9603.000  0.000      0.000      0.016    0.573    0.016    0.588
0.12000  0.186      9.260    1968.000   4.34700e+10   9.06000e+10   2.66600e+10   2.29000e+10  0.000  3440.000  7972.000  0.000      0.000      0.025    0.784    0.025    0.783
0.14000  0.186      8.570    1614.000   2.81600e+10   7.13200e+10   1.62100e+10   1.85200e+10  0.000  2158.000  6520.000  0.000      0.000      0.033    0.808    0.031    0.784
0.16000  0.204      7.860    1239.000   2.01000e+10   5.50600e+10   1.00100e+10   1.44500e+10  0.000  1433.000  5093.000  0.000      0.000      0.037    0.934    0.034    0.849
0.18000  0.204      7.180     891.900   1.42700e+10   3.72500e+10   5.16000e+09   1.04700e+10  0.000  915.600  3665.000  0.000      0.000      0.039    0.953    0.031    0.792
0.20000  0.221      6.550     547.400   9.48100e+09   1.94400e+10   1.22700e+09   6.51300e+09  0.000  499.000  2229.000  0.000      0.000      0.040    1.055    0.021    0.674
0.22000  0.237      6.010     476.200   8.54000e+09   1.90900e+10   8.11900e+08   6.57400e+09  0.000  375.600  1950.000  0.000      0.000      0.043    1.144    0.023    0.652
0.24000  0.254      5.540     427.500   7.76200e+09   1.87700e+10   5.65400e+08   6.65600e+09  0.000  297.200  1755.000  0.000      0.000      0.045    1.223    0.024    0.635
0.26000  0.270      5.100     377.100   6.94000e+09   1.84500e+10   3.77700e+08   6.69800e+09  0.000  231.500  1535.000  0.000      0.000      0.045    1.299    0.023    0.620
0.28000  0.237      4.670     330.000   6.33000e+09   1.63900e+10   2.36200e+08   6.76100e+09  0.000  182.600  1246.000  0.000      0.000      0.040    1.138    0.018    0.547
