Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 14-Apr-2026 at 22:13:17.
BModes analysis to support NuMAD to FAST Blade using PreComp                                       
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first   6 modes printed


 -------- Mode No.   1  (freq = 0.37668E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	 0.000005	 0.000117	 0.000303	 0.007332	 0.000005
 0.1600	 0.000109	 0.002255	 0.001410	 0.019878	 0.000028
 0.2400	 0.000476	 0.006295	 0.004714	 0.060818	 0.000463
 0.3200	 0.001096	 0.009005	 0.010940	 0.093774	 0.002221
 0.4000	 0.001993	 0.012915	 0.019961	 0.130370	 0.005378
 0.4800	 0.003085	 0.014205	 0.032417	 0.178368	 0.009661
 0.5600	 0.004201	 0.013832	 0.049198	 0.236917	 0.015388
 0.6400	 0.005269	 0.013151	 0.070544	 0.292558	 0.021777
 0.7200	 0.006283	 0.012542	 0.096182	 0.344560	 0.027422
 0.8000	 0.007265	 0.012288	 0.125642	 0.389178	 0.032388
 0.9000	 0.008481	 0.012378	 0.167235	 0.437858	 0.038733
 1.0000	 0.009736	 0.013014	 0.212543	 0.463306	 0.040767


 -------- Mode No.   2  (freq = 0.46264E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	 0.000123	 0.002952	-0.000014	-0.000353	 0.000017
 0.1600	 0.000740	 0.011991	-0.000036	-0.000255	 0.000088
 0.2400	 0.002828	 0.038489	-0.000083	-0.001040	 0.001509
 0.3200	 0.006904	 0.062007	-0.000197	-0.001832	 0.007351
 0.4000	 0.012810	 0.084421	-0.000372	-0.002611	 0.018136
 0.4800	 0.020488	 0.106228	-0.000677	-0.004934	 0.034846
 0.5600	 0.029880	 0.127230	-0.001229	-0.008565	 0.062353
 0.6400	 0.040831	 0.145525	-0.002079	-0.012353	 0.102560
 0.7200	 0.053095	 0.160633	-0.003236	-0.016187	 0.155262
 0.8000	 0.066511	 0.174417	-0.004683	-0.019643	 0.235565
 0.9000	 0.084757	 0.190930	-0.006873	-0.023594	 0.387784
 1.0000	 0.104429	 0.203702	-0.009366	-0.025662	 0.415350


 -------- Mode No.   3  (freq = 0.84233E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	 0.000008	 0.000201	 0.000002	 0.000055	-0.000006
 0.1600	 0.000050	 0.000800	 0.000012	 0.000188	-0.000032
 0.2400	 0.000182	 0.002348	 0.000042	 0.000509	-0.000569
 0.3200	 0.000417	 0.003403	 0.000091	 0.000704	-0.003097
 0.4000	 0.000712	 0.003856	 0.000153	 0.000819	-0.008584
