--------------------------------------------------------------------------------
---------------------- FAST INDIVIDUAL BLADE FILE ------------------------------
Properties generated using NuMAD2PreComp2FASTBlade on 02-Feb-2026
---------------------- BLADE PARAMETERS ----------------------------------------
51               NBlInpSt    - Number of blade input stations (-)
F                CalcBMode   - Calculate blade mode shapes internally {T: ignore mode shapes from below, F: use mode shapes from below} [CURRENTLY IGNORED] (flag)
1.5              BldFlDmp(1) - Blade flap mode #1 structural damping in percent of critical (%%)
1.5              BldFlDmp(2) - Blade flap mode #2 structural damping in percent of critical (%%)
1.5              BldEdDmp(1) - Blade edge mode #1 structural damping in percent of critical (%%)
---------------------- BLADE ADJUSTMENT FACTORS --------------------------------
1                FlStTunr(1) - Blade flapwise modal stiffness tuner, 1st mode (-)
1                FlStTunr(2) - Blade flapwise modal stiffness tuner, 2nd mode (-)
1                AdjBlMs     - Factor to adjust blade mass density (-)
1                AdjFlSt     - Factor to adjust blade flap stiffness (-)
1                AdjEdSt     - Factor to adjust blade edge stiffness (-)
---------------------- DISTRIBUTED BLADE PROPERTIES ----------------------------
BlFract  AeroCent  StrcTwst  BMassDen  FlpStff       EdgStff       GJStff        EAStff        Alpha  FlpIner  EdgIner  PrecrvRef  PreswpRef  FlpcgOf  EdgcgOf  FlpEAOf  EdgEAOf
(-)      (-)       (deg)     (kg/m)    (Nm^2)        (Nm^2)        (Nm^2)        (N)           (-)    (kg m)   (kg m)   (m)        (m)        (m)      (m)      (m)      (m)
0.00000  0.750     15.590    4036.000   1.48900e+11   1.48200e+11   8.97600e+10   4.73700e+10  0.000  12810.000  12760.000  0.000      0.000      0.000    0.000    0.000    0.000
0.02000  0.750     15.550    3702.000   1.38000e+11   1.36900e+11   8.25400e+10   4.31500e+10  0.000  11870.000  11970.000  0.000      0.000      0.000    0.019    0.000    0.007
0.04000  0.750     15.420    3352.000   1.26100e+11   1.25600e+11   7.47400e+10   3.89900e+10  0.000  10770.000  11090.000  0.000      0.000      0.000    0.034    0.000    0.017
0.06000  0.043     14.980    2970.000   1.07400e+11   1.10900e+11   6.35300e+10   3.44900e+10  0.000  9032.000  9940.000  0.000      0.000      0.000    0.126    0.000    0.095
0.08000  0.061     14.320    2529.000   8.04200e+10   9.20400e+10   4.80400e+10   2.94800e+10  0.000  6582.000  8374.000  0.000      0.000      0.002    0.190    0.002    0.146
0.10000  0.116     13.490    2091.000   5.59200e+10   7.40900e+10   3.32900e+10   2.47400e+10  0.000  4384.000  6635.000  0.000      0.000      0.007    0.420    0.007    0.377
0.12000  0.151     12.540    1746.000   3.61900e+10   5.89200e+10   2.10800e+10   2.04900e+10  0.000  2738.000  5372.000  0.000      0.000      0.014    0.580    0.014    0.522
0.14000  0.186     11.540    1416.000   2.26600e+10   4.59600e+10   1.23300e+10   1.65400e+10  0.000  1628.000  4280.000  0.000      0.000      0.022    0.757    0.021    0.669
0.16000  0.186     10.530    1073.000   1.48200e+10   3.46700e+10   6.95000e+09   1.29100e+10  0.000  962.800  3277.000  0.000      0.000      0.028    0.793    0.024    0.637
0.18000  0.204      9.570     769.700   1.04400e+10   2.37800e+10   3.54200e+09   9.50600e+09  0.000  592.700  2364.000  0.000      0.000      0.031    0.936    0.025    0.655
0.20000  0.204      8.710     473.900   7.17600e+09   1.21500e+10   8.46400e+08   6.18200e+09  0.000  314.100  1461.000  0.000      0.000      0.031    1.091    0.015    0.528
0.22000  0.221      7.980     412.700   6.49100e+09   1.14300e+10   5.57000e+08   6.28300e+09  0.000  234.500  1260.000  0.000      0.000      0.033    1.211    0.015    0.499
0.24000  0.237      7.340     369.400   5.73900e+09   1.09600e+10   3.73900e+08   6.39200e+09  0.000  178.600  1112.000  0.000      0.000      0.036    1.305    0.017    0.475
0.26000  0.254      6.720     325.900   5.06400e+09   1.02900e+10   2.40600e+08   6.43800e+09  0.000  136.400  957.400  0.000      0.000      0.036    1.388    0.016    0.452
0.28000  0.254      6.100     283.400   4.44200e+09   9.36800e+09   1.43700e+08   6.51000e+09  0.000  102.800  792.800  0.000      0.000      0.034    1.405    0.015    0.416
0.30000  0.237      5.520     261.300   4.01000e+09   8.40900e+09   9.89900e+07   6.60300e+09  0.000   84.670  682.400  0.000      0.000      0.029    1.328    0.011    0.379
0.32000  0.221      3.370     216.900   2.33000e+09   4.23400e+09   4.61500e+07   6.45700e+09  0.000   43.710  345.100  0.000      0.000      0.020    0.975    0.005    0.247
0.34000  0.254      2.680     210.100   2.11500e+09   4.03000e+09   4.02000e+07   6.42000e+09  0.000   38.940  315.600  0.000      0.000      0.017    1.013    0.003    0.245
0.36000  0.237      1.460     196.500   1.69400e+09   3.09100e+09   3.00800e+07   6.33300e+09  0.000   30.120  248.600  0.000      0.000      0.015    0.882    0.001    0.202
0.38000  0.254      0.900     188.800   1.41900e+09   2.81900e+09   2.47100e+07   6.27800e+09  0.000   24.870  222.300  0.000      0.000      0.014    0.875    0.001    0.196
0.40000  0.237      0.400     182.400   1.23000e+09   2.43900e+09   2.07900e+07   6.23000e+09  0.000   21.200  196.400  0.000      0.000      0.013    0.800    0.000    0.174
0.42000  0.254     -0.060     177.000   1.11400e+09   2.26300e+09   1.80600e+07   6.17900e+09  0.000   18.890  180.200  0.000      0.000      0.012    0.802   -0.001    0.170
0.44000  0.237     -0.480     172.200   1.02100e+09   1.98200e+09   1.59600e+07   6.13100e+09  0.000   17.070  161.600  0.000      0.000      0.010    0.737   -0.003    0.152
0.46000  0.237     -0.870     167.800   9.32200e+08   1.80600e+09   1.42100e+07   6.08600e+09  0.000   15.400  147.100  0.000      0.000      0.009    0.707   -0.004    0.144
0.48000  0.221     -1.220     162.900   8.23100e+08   1.57700e+09   1.22200e+07   6.03300e+09  0.000   13.410  130.200  0.000      0.000      0.009    0.649   -0.003    0.133
0.50000  0.221     -1.550     157.900   7.10400e+08   1.43200e+09   1.02500e+07   5.97200e+09  0.000   11.420  117.400  0.000      0.000      0.010    0.623   -0.001    0.126
0.52000  0.221     -1.250     157.800   6.95700e+08   1.45700e+09   1.01300e+07   5.92100e+09  0.000   11.220  120.000  0.000      0.000      0.012    0.631    0.001    0.128
0.54000  0.221     -1.540     153.600   6.25000e+08   1.33300e+09   8.96800e+06   5.84500e+09  0.000   10.010  109.800  0.000      0.000      0.013    0.608    0.002    0.121
0.56000  0.237     -1.190     153.800   6.21500e+08   1.42800e+09   9.25000e+06   5.78700e+09  0.000   10.090  116.400  0.000      0.000      0.014    0.649    0.003    0.126
0.58000  0.237     -1.440     149.500   5.46500e+08   1.31100e+09   8.10200e+06   5.69900e+09  0.000    8.828  106.900  0.000      0.000      0.015    0.626    0.006    0.120
0.60000  0.237     -1.070     149.600   5.42900e+08   1.34800e+09   8.21000e+06   5.60500e+09  0.000    8.841  111.000  0.000      0.000      0.018    0.642    0.008    0.124
0.62000  0.237     -1.280     145.400   4.92400e+08   1.23800e+09   7.27600e+06   5.49800e+09  0.000    7.926  102.200  0.000      0.000      0.020    0.622    0.011    0.119
0.64000  0.221     -1.490     140.700   4.48300e+08   1.08000e+09   6.54200e+06   5.36400e+09  0.000    7.168   91.050  0.000      0.000      0.021    0.574    0.014    0.111
0.66000  0.221     -1.080     141.000   4.60200e+08   1.12100e+09   7.00200e+06   5.24200e+09  0.000    7.475   95.870  0.000      0.000      0.024    0.595    0.017    0.116
0.68000  0.204     -1.260     136.200   4.17700e+08   9.78000e+08   6.34600e+06   5.09000e+09  0.000    6.758   86.050  0.000      0.000      0.026    0.547    0.020    0.106
0.70000  0.204     -0.820     134.200   4.26100e+08   1.01000e+09   6.74000e+06   4.93600e+09  0.000    7.012   88.450  0.000      0.000      0.030    0.551    0.024    0.110
0.72000  0.204     -0.980     129.100   3.82200e+08   9.13700e+08   6.01600e+06   4.75100e+09  0.000    6.271   80.650  0.000      0.000      0.032    0.534    0.028    0.106
0.74000  0.204     -0.530     128.400   3.92000e+08   9.47900e+08   6.49800e+06   4.57100e+09  0.000    6.576   85.660  0.000      0.000      0.035    0.551    0.033    0.110
0.76000  0.204     -0.680     123.000   3.52100e+08   8.46700e+08   5.87500e+06   4.35100e+09  0.000    5.916   77.800  0.000      0.000      0.037    0.534    0.035    0.105
0.78000  0.204     -0.820     115.400   3.17800e+08   7.41200e+08   5.38700e+06   4.10800e+09  0.000    5.364   67.790  0.000      0.000      0.036    0.500    0.035    0.100
0.80000  0.204     -0.950     109.700   2.86800e+08   6.50300e+08   5.00300e+06   3.85700e+09  0.000    4.880   60.920  0.000      0.000      0.035    0.481    0.034    0.095
0.82000  0.204     -1.070     104.300   2.57000e+08   5.69000e+08   4.62800e+06   3.58800e+09  0.000    4.419   54.900  0.000      0.000      0.035    0.468    0.033    0.091
0.84000  0.204     -1.190      96.640   2.27900e+08   4.86600e+08   4.28800e+06   3.29000e+09  0.000    3.980   47.140  0.000      0.000      0.034    0.437    0.032    0.087
